iter	Passed	Remaining
0	24	24827
1	43	21789
2	57	19028
3	85	21316
4	105	20921
5	116	19279
6	139	19793
7	159	19761
8	165	18220
9	194	19215
10	200	18060
11	229	18863
12	252	19172
13	280	19780
14	310	20382
15	330	20304
16	348	20154
17	363	19806
18	391	20221
19	402	19717
20	413	19294
21	436	19408
22	450	19148
23	473	19254
24	496	19368
25	524	19648
26	554	19997
27	570	19816
28	589	19729
29	603	19529
30	632	19780
31	647	19596
32	662	19413
33	677	19248
34	700	19320
35	715	19158
36	729	18979
37	759	19219
38	774	19095
39	804	19315
40	836	19573
41	878	20029
42	917	20413
43	946	20571
44	957	20322
45	982	20374
46	1011	20511
47	1032	20484
48	1051	20416
49	1067	20278
50	1081	20130
51	1100	20069
52	1111	19851
53	1125	19716
54	1135	19512
55	1165	19654
56	1177	19480
57	1187	19284
58	1215	19388
59	1235	19356
60	1266	19488
61	1291	19533
62	1318	19616
63	1338	19580
64	1352	19462
65	1373	19431
66	1402	19534
67	1433	19646
68	1467	19805
69	1493	19836
70	1529	20017
71	1545	19916
72	1559	19802
73	1587	19866
74	1603	19777
75	1632	19845
76	1653	19820
77	1675	19808
78	1704	19871
79	1715	19730
80	1736	19702
81	1756	19667
82	1785	19730
83	1805	19692
84	1816	19553
85	1830	19458
86	1853	19453
87	1866	19345
88	1897	19421
89	1918	19399
90	1950	19483
91	1966	19408
92	1981	19322
93	1997	19248
94	2029	19335
95	2043	19245
96	2064	19221
97	2100	19335
98	2133	19415
99	2149	19341
100	2159	19223
101	2174	19141
102	2188	19059
103	2217	19106
104	2233	19034
105	2248	18964
106	2263	18894
107	2284	18870
108	2301	18813
109	2326	18823
110	2346	18790
111	2356	18686
112	2371	18614
113	2399	18651
114	2416	18592
115	2430	18525
116	2454	18525
117	2482	18555
118	2498	18494
119	2518	18469
120	2534	18410
121	2549	18346
122	2577	18378
123	2593	18323
124	2623	18365
125	2649	18379
126	2668	18346
127	2683	18282
128	2712	18312
129	2737	18319
130	2768	18365
131	2783	18303
132	2798	18240
133	2821	18232
134	2841	18208
135	2874	18261
136	2904	18297
137	2921	18247
138	2940	18214
139	2966	18220
140	2982	18167
141	3014	18211
142	3034	18185
143	3063	18210
144	3091	18228
145	3119	18245
146	3143	18240
147	3205	18451
148	3245	18535
149	3273	18551
150	3290	18498
151	3319	18521
152	3351	18553
153	3378	18561
154	3409	18585
155	3438	18601
156	3467	18617
157	3498	18641
158	3526	18652
159	3550	18642
160	3597	18749
161	3627	18766
162	3651	18751
163	3682	18771
164	3713	18791
165	3745	18817
166	3795	18931
167	3825	18947
168	3856	18963
169	3887	18978
170	3915	18984
171	3945	18992
172	3975	19003
173	4004	19009
174	4028	18990
175	4058	18999
176	4091	19023
177	4122	19037
178	4154	19055
179	4184	19062
180	4213	19064
181	4242	19065
182	4271	19071
183	4304	19088
184	4332	19085
185	4364	19099
186	4393	19102
187	4422	19102
188	4451	19102
189	4482	19110
190	4516	19130
191	4547	19136
192	4579	19147
193	4609	19149
194	4640	19156
195	4668	19151
196	4700	19161
197	4734	19175
198	4764	19178
199	4798	19192
200	4830	19200
201	4862	19207
202	4894	19214
203	4928	19231
204	4960	19237
205	4991	19239
206	5022	19240
207	5051	19233
208	5080	19229
209	5111	19227
210	5144	19238
211	5181	19257
212	5211	19254
213	5240	19249
214	5271	19247
215	5301	19242
216	5330	19235
217	5363	19238
218	5396	19243
219	5426	19240
220	5459	19243
221	5492	19248
222	5521	19238
223	5552	19234
224	5585	19239
225	5616	19234
226	5647	19230
227	5676	19220
228	5708	19219
229	5738	19211
230	5770	19209
231	5802	19208
232	5838	19218
233	5873	19225
234	5904	19222
235	5937	19221
236	5971	19223
237	6001	19216
238	6034	19213
239	6069	19220
240	6100	19211
241	6131	19205
242	6163	19200
243	6192	19187
244	6221	19171
245	6253	19166
246	6286	19164
247	6318	19160
248	6348	19148
249	6377	19131
250	6406	19116
251	6434	19099
252	6465	19089
253	6498	19086
254	6578	19218
255	6618	19233
256	6649	19223
257	6679	19209
258	6712	19204
259	6743	19193
260	6773	19180
261	6806	19172
262	6837	19159
263	6866	19144
264	6902	19143
265	6934	19136
266	6967	19126
267	6999	19117
268	7029	19103
269	7058	19083
270	7088	19068
271	7118	19052
272	7153	19049
273	7184	19035
274	7215	19023
275	7248	19015
276	7281	19004
277	7314	18995
278	7346	18985
279	7386	18994
280	7417	18978
281	7446	18958
282	7475	18938
283	7508	18930
284	7538	18911
285	7570	18899
286	7631	18959
287	7686	19001
288	7723	19002
289	7752	18981
290	7783	18963
291	7816	18951
292	7844	18929
293	7874	18908
294	7902	18885
295	7931	18864
296	7960	18843
297	7992	18826
298	8038	18845
299	8066	18821
300	8096	18802
301	8126	18782
302	8154	18757
303	8181	18732
304	8209	18707
305	8239	18686
306	8268	18664
307	8297	18642
308	8326	18619
309	8353	18594
310	8381	18569
311	8409	18543
312	8438	18521
313	8467	18498
314	8496	18476
315	8524	18452
316	8551	18424
317	8579	18399
318	8606	18372
319	8634	18349
320	8663	18324
321	8690	18298
322	8717	18271
323	8744	18244
324	8770	18216
325	8797	18189
326	8824	18161
327	8851	18135
328	8888	18127
329	8916	18104
330	8945	18080
331	8972	18053
332	9000	18027
333	9029	18005
334	9058	17982
335	9092	17968
336	9120	17943
337	9148	17918
338	9178	17897
339	9208	17875
340	9236	17849
341	9262	17821
342	9292	17799
343	9320	17774
344	9350	17752
345	9378	17726
346	9407	17703
347	9435	17678
348	9463	17651
349	9491	17627
350	9520	17603
351	9548	17577
352	9618	17630
353	9655	17620
354	9685	17597
355	9714	17573
356	9742	17546
357	9772	17525
358	9803	17505
359	9831	17478
360	9860	17453
361	9888	17427
362	9916	17401
363	9943	17373
364	9971	17348
365	10002	17326
366	10032	17303
367	10063	17283
368	10091	17257
369	10119	17230
370	10146	17202
371	10174	17175
372	10204	17153
373	10286	17218
374	10316	17194
375	10347	17173
376	10379	17151
377	10407	17125
378	10436	17101
379	10470	17083
380	10498	17057
381	10527	17031
382	10557	17007
383	10586	16981
384	10615	16957
385	10645	16933
386	10684	16923
387	10711	16895
388	10738	16866
389	10769	16845
390	10797	16817
391	10826	16792
392	10857	16770
393	10885	16742
394	10914	16717
395	10943	16690
396	10971	16664
397	10999	16637
398	11027	16611
399	11055	16583
400	11083	16555
401	11110	16528
402	11139	16502
403	11168	16476
404	11197	16451
405	11230	16431
406	11259	16404
407	11290	16382
408	11318	16354
409	11345	16326
410	11374	16300
411	11404	16276
412	11434	16252
413	11464	16228
414	11493	16201
415	11522	16175
416	11550	16148
417	11577	16120
418	11604	16091
419	11632	16064
420	11664	16042
421	11694	16017
422	11723	15991
423	11752	15966
424	11781	15939
425	11811	15914
426	11838	15885
427	11864	15856
428	11893	15830
429	11922	15804
430	11949	15775
431	11978	15749
432	12008	15725
433	12037	15698
434	12067	15674
435	12096	15647
436	12125	15621
437	12156	15598
438	12189	15577
439	12218	15551
440	12246	15523
441	12274	15496
442	12302	15468
443	12331	15441
444	12359	15414
445	12391	15391
446	12419	15364
